,Age_group,Facility,Gender,APR,Predict,County
0,0 to 17,Adirondack Medical Center-Saranac Lake Site,F,Cellulitis & other skin infections,3974.994591,Franklin
1,0 to 17,Adirondack Medical Center-Saranac Lake Site,F,Cesarean delivery,4219.667607,Franklin
2,0 to 17,Adirondack Medical Center-Saranac Lake Site,F,Chronic obstructive pulmonary disease,4882.332921,Franklin
3,0 to 17,Adirondack Medical Center-Saranac Lake Site,F,Heart failure,4977.940087,Franklin
4,0 to 17,Adirondack Medical Center-Saranac Lake Site,F,Knee joint replacement,16883.14961,Franklin
5,0 to 17,Adirondack Medical Center-Saranac Lake Site,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",675.4178612,Franklin
6,0 to 17,Adirondack Medical Center-Saranac Lake Site,F,Other pneumonia,4766.504059,Franklin
7,0 to 17,Adirondack Medical Center-Saranac Lake Site,F,Schizophrenia,199.0674867,Franklin
8,0 to 17,Adirondack Medical Center-Saranac Lake Site,F,Septicemia & disseminated infections,5323.125125,Franklin
9,0 to 17,Adirondack Medical Center-Saranac Lake Site,F,Vaginal delivery,3719.185361,Franklin
10,0 to 17,Adirondack Medical Center-Saranac Lake Site,M,Cellulitis & other skin infections,4205.304134,Franklin
11,0 to 17,Adirondack Medical Center-Saranac Lake Site,M,Cesarean delivery,4449.97715,Franklin
12,0 to 17,Adirondack Medical Center-Saranac Lake Site,M,Chronic obstructive pulmonary disease,5112.642464,Franklin
13,0 to 17,Adirondack Medical Center-Saranac Lake Site,M,Heart failure,5208.24963,Franklin
14,0 to 17,Adirondack Medical Center-Saranac Lake Site,M,Knee joint replacement,17113.45915,Franklin
15,0 to 17,Adirondack Medical Center-Saranac Lake Site,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",905.7274042,Franklin
16,0 to 17,Adirondack Medical Center-Saranac Lake Site,M,Other pneumonia,4996.813602,Franklin
17,0 to 17,Adirondack Medical Center-Saranac Lake Site,M,Schizophrenia,429.3770297,Franklin
18,0 to 17,Adirondack Medical Center-Saranac Lake Site,M,Septicemia & disseminated infections,5553.434668,Franklin
19,0 to 17,Adirondack Medical Center-Saranac Lake Site,M,Vaginal delivery,3949.494904,Franklin
20,0 to 17,Albany Medical Center Hospital,F,Cellulitis & other skin infections,5259.110346,Albany
21,0 to 17,Albany Medical Center Hospital,F,Cesarean delivery,5503.783362,Albany
22,0 to 17,Albany Medical Center Hospital,F,Chronic obstructive pulmonary disease,6166.448676,Albany
23,0 to 17,Albany Medical Center Hospital,F,Heart failure,6262.055842,Albany
24,0 to 17,Albany Medical Center Hospital,F,Knee joint replacement,18167.26536,Albany
25,0 to 17,Albany Medical Center Hospital,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",1959.533616,Albany
26,0 to 17,Albany Medical Center Hospital,F,Other pneumonia,6050.619814,Albany
27,0 to 17,Albany Medical Center Hospital,F,Schizophrenia,1483.183242,Albany
28,0 to 17,Albany Medical Center Hospital,F,Septicemia & disseminated infections,6607.24088,Albany
29,0 to 17,Albany Medical Center Hospital,F,Vaginal delivery,5003.301116,Albany
30,0 to 17,Albany Medical Center Hospital,M,Cellulitis & other skin infections,5489.419889,Albany
31,0 to 17,Albany Medical Center Hospital,M,Cesarean delivery,5734.092905,Albany
32,0 to 17,Albany Medical Center Hospital,M,Chronic obstructive pulmonary disease,6396.758219,Albany
33,0 to 17,Albany Medical Center Hospital,M,Heart failure,6492.365385,Albany
34,0 to 17,Albany Medical Center Hospital,M,Knee joint replacement,18397.5749,Albany
35,0 to 17,Albany Medical Center Hospital,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",2189.843159,Albany
36,0 to 17,Albany Medical Center Hospital,M,Other pneumonia,6280.929357,Albany
37,0 to 17,Albany Medical Center Hospital,M,Schizophrenia,1713.492785,Albany
38,0 to 17,Albany Medical Center Hospital,M,Septicemia & disseminated infections,6837.550423,Albany
39,0 to 17,Albany Medical Center Hospital,M,Vaginal delivery,5233.610659,Albany
40,0 to 17,Albany Memorial Hospital,F,Cellulitis & other skin infections,3069.954234,Albany
41,0 to 17,Albany Memorial Hospital,F,Cesarean delivery,3314.62725,Albany
42,0 to 17,Albany Memorial Hospital,F,Chronic obstructive pulmonary disease,3977.292564,Albany
43,0 to 17,Albany Memorial Hospital,F,Heart failure,4072.89973,Albany
44,0 to 17,Albany Memorial Hospital,F,Knee joint replacement,15978.10925,Albany
45,0 to 17,Albany Memorial Hospital,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",-229.6224962,Albany
46,0 to 17,Albany Memorial Hospital,F,Other pneumonia,3861.463702,Albany
47,0 to 17,Albany Memorial Hospital,F,Schizophrenia,-705.9728708,Albany
48,0 to 17,Albany Memorial Hospital,F,Septicemia & disseminated infections,4418.084768,Albany
49,0 to 17,Albany Memorial Hospital,F,Vaginal delivery,2814.145004,Albany
50,0 to 17,Albany Memorial Hospital,M,Cellulitis & other skin infections,3300.263777,Albany
51,0 to 17,Albany Memorial Hospital,M,Cesarean delivery,3544.936793,Albany
52,0 to 17,Albany Memorial Hospital,M,Chronic obstructive pulmonary disease,4207.602107,Albany
53,0 to 17,Albany Memorial Hospital,M,Heart failure,4303.209273,Albany
54,0 to 17,Albany Memorial Hospital,M,Knee joint replacement,16208.41879,Albany
55,0 to 17,Albany Memorial Hospital,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",0.687046785,Albany
56,0 to 17,Albany Memorial Hospital,M,Other pneumonia,4091.773245,Albany
57,0 to 17,Albany Memorial Hospital,M,Schizophrenia,-475.6633277,Albany
58,0 to 17,Albany Memorial Hospital,M,Septicemia & disseminated infections,4648.394311,Albany
59,0 to 17,Albany Memorial Hospital,M,Vaginal delivery,3044.454547,Albany
60,0 to 17,Alice Hyde Medical Center,F,Cellulitis & other skin infections,3665.353314,Franklin
